Model,F1_Score,ROC_AUC,Precision,Recall,Accuracy,CV_F1_Mean,CV_F1_Std
Logistic Regression,0.5754861821903787,0.8206668487323261,0.5329383886255924,0.6254171301446051,0.75115,0.6137450605742096,0.0009846976014571123
Random Forest,0.669260149950488,0.8414811365050228,0.5410567246111619,0.8770856507230256,0.7662,0.6854935870636558,0.0018513525545748085
XGBoost,0.693625181854252,0.8421339848146272,0.5391138980263158,0.9722840192806822,0.76835,0.6947611552055475,0.002598479877996775
Voting Ensemble,0.6849695328368314,0.8420067425727136,0.5395157849829352,0.9378012606599926,0.76735,0.6941553255108343,0.002148281926640612
